"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","like","thing","say","things","anything"
"2","must","now","said","good","nothing"
"3","way","man","think","many","know"
"4","everything","sort","well","bad","else"
"5","soul","different","whether","others","saying"
"6","since","kind","make","men","someone"
"7","right","time","people","call","either"
"8","come","another","fine","makes","see"
"9","first","two","fact","take","everything"
"10","body","name","case","pleasure","anyone"
"11","even","knowledge","gods","beautiful","nature"
"12","without","part","socrates","neither","person"
"13","names","justice","virtue","even","may"
"14","together","state","city","long","really"
"15","possible","suppose","truth","among","never"
"16","living","thought","best","rather","things"
"17","put","done","knowledge","speak","give"
"18","yet","human","says","get","find"
"19","agree","whatever","tell","number","point"
"20","made","power","want","ones","ever"
